signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,entry_price,from,symbol,exit_price,to
SELL,2024-07-26 20:00:00+05:30,6333,6333,6325,6325,1,6417.66,6449.92,6456.96,6451.35,69.54,0.03,6482,6333,6325,2024-07-26 20:00:00+05:30,CRUDEOILM_v2_v2,6455,2024-07-29 09:00:00+05:30
SELL,2024-07-29 12:00:00+05:30,6425,6425,6349,6349,7,6401.57,6404.6,6419.99,6430.33,30.88,33.47,6455,6400,6349,2024-07-29 12:00:00+05:30,CRUDEOILM_v2_v2,6300,2024-07-31 09:00:00+05:30
BUY,2024-07-31 12:05:00+05:30,6319,6328,6319,6328,1,6314.29,6298.41,6285.45,6288.35,49.29,80.69,6319,6303,6328,2024-07-31 12:05:00+05:30,CRUDEOILM_v2_v2,6422,2024-08-01 20:00:00+05:30
SELL,2024-08-01 22:00:00+05:30,6386,6386,6370,6370,2,6393.53,6414.81,6426.98,6416.9,73.9,11.48,6435,6381,6370,2024-08-01 22:00:00+05:30,CRUDEOILM_v2_v2,6410,2024-08-02 09:15:00+05:30
SELL,2024-08-02 14:00:00+05:30,6364,6364,6355,6355,1,6368.53,6368.89,6379.35,6389.73,27.55,36.65,6387,6364,6355,2024-08-02 14:00:00+05:30,CRUDEOILM_v2_v2,6140,2024-08-05 20:45:00+05:30
SELL,2024-08-06 17:40:00+05:30,6109,6109,6074,6074,5,6116.35,6130.73,6129.13,6138.61,44.01,21.8,6150,6100,6074,2024-08-06 17:40:00+05:30,CRUDEOILM_v2_v2,6136,2024-08-06 19:35:00+05:30
SELL,2024-08-07 12:30:00+05:30,6129,6129,6108,6108,1,6129.05,6132.92,6132.65,6134.52,22.33,17.34,6144,6129,6108,2024-08-07 12:30:00+05:30,CRUDEOILM_v2_v2,6138,2024-08-07 13:50:00+05:30
BUY,2024-08-07 15:20:00+05:30,6158,6168,6158,6168,5,6143.71,6135.95,6133.46,6134.09,41.91,88.34,6158,6128,6168,2024-08-07 15:20:00+05:30,CRUDEOILM_v2_v2,6200,2024-08-08 15:15:00+05:30
BUY,2024-08-08 15:50:00+05:30,6234,6234,6234,6234,1,6215.54,6218.29,6217.37,6202.25,26.12,69.7,6224,6200,6234,2024-08-08 15:50:00+05:30,CRUDEOILM_v2_v2,6318,2024-08-12 17:40:00+05:30
BUY,2024-08-12 21:00:00+05:30,6405,6424,6405,6424,11,6393.81,6383.66,6371.31,6349.57,22.13,72.25,6410,6370,6424,2024-08-12 21:00:00+05:30,CRUDEOILM_v2_v2,6451,2024-08-13 20:35:00+05:30
SELL,2024-08-13 22:40:00+05:30,6410,6410,6408,6408,2,6424.92,6447.21,6460.69,6451.14,20.41,35.82,6459,6410,6408,2024-08-13 22:40:00+05:30,CRUDEOILM_v2_v2,6450,2024-08-14 09:00:00+05:30
BUY,2024-08-14 12:35:00+05:30,6460,6474,6460,6474,1,6459.98,6455.01,6457.77,6452.16,21.36,65.88,6465,6439,6474,2024-08-14 12:35:00+05:30,CRUDEOILM_v2_v2,6435,2024-08-14 12:40:00+05:30
BUY,2024-08-14 14:20:00+05:30,6475,6480,6475,6480,2,6461.82,6456.1,6456.86,6452.55,28.72,73.17,6475,6435,6480,2024-08-14 14:20:00+05:30,CRUDEOILM_v2_v2,6445,2024-08-14 14:45:00+05:30
SELL,2024-08-14 16:05:00+05:30,6425,6425,6400,6400,6,6440.28,6448.8,6452.92,6451.39,33.96,20.12,6480,6425,6400,2024-08-14 16:05:00+05:30,CRUDEOILM_v2_v2,6428,2024-08-16 09:10:00+05:30
SELL,2024-08-16 13:50:00+05:30,6411,6411,6400,6400,3,6412.35,6412.35,6413.3,6420.74,31.34,21.96,6424,6411,6400,2024-08-16 13:50:00+05:30,CRUDEOILM_v2_v2,6315,2024-08-19 18:30:00+05:30
SELL,2024-08-19 19:50:00+05:30,6293,6294,6262,6262,17,6301.5,6296.65,6297.39,6312.08,31.6,34.34,6330,6277,6262,2024-08-19 19:50:00+05:30,CRUDEOILM_v2_v2,6316,2024-08-19 20:45:00+05:30
SELL,2024-08-19 21:30:00+05:30,6273,6273,6230,6230,59,6286.1,6291.27,6294.26,6308.14,21.76,30.8,6320,6262,6230,2024-08-19 21:30:00+05:30,CRUDEOILM_v2_v2,6199,2024-08-20 18:55:00+05:30
SELL,2024-08-20 20:35:00+05:30,6131,6140,6121,6121,26,6170.54,6173.35,6172.36,6191.37,21.34,30.04,6211,6131,6121,2024-08-20 20:35:00+05:30,CRUDEOILM_v2_v2,6153,2024-08-21 14:55:00+05:30
SELL,2024-08-21 16:30:00+05:30,6137,6139,6130,6130,6,6146.09,6141.09,6139.44,6150.58,27.85,36.71,6165,6136,6130,2024-08-21 16:30:00+05:30,CRUDEOILM_v2_v2,6152,2024-08-21 17:25:00+05:30
SELL,2024-08-21 21:40:00+05:30,6080,6080,6064,6064,85,6120.42,6137.07,6140.93,6147.28,20.91,23.94,6198,6067,6064,2024-08-21 21:40:00+05:30,CRUDEOILM_v2_v2,6078,2024-08-22 19:20:00+05:30
BUY,2024-08-22 21:00:00+05:30,6127,6140,6126,6140,32,6106.42,6085.61,6073.6,6078.41,36.1,67.92,6134,6069,6140,2024-08-22 21:00:00+05:30,CRUDEOILM_v2_v2,6354,2024-08-27 14:45:00+05:30
BUY,2024-08-27 17:00:00+05:30,6389,6390,6389,6390,1,6380.94,6382.8,6385.85,6369.4,27.93,60.31,6389,6354,6390,2024-08-27 17:00:00+05:30,CRUDEOILM_v2_v2,6370,2024-08-27 18:00:00+05:30
SELL,2024-08-27 19:50:00+05:30,6351,6352,6323,6327,87,6359.01,6368.71,6376.06,6368.74,22.0,31.2,6384,6345,6323,2024-08-27 19:50:00+05:30,CRUDEOILM_v2_v2,6274,2024-08-28 20:35:00+05:30
SELL,2024-08-29 13:50:00+05:30,6186,6186,6169,6169,86,6198.02,6204.25,6211.72,6230.35,21.18,32.19,6217,6183,6169,2024-08-29 13:50:00+05:30,CRUDEOILM_v2_v2,6225,2024-08-29 17:00:00+05:30
BUY,2024-08-29 18:50:00+05:30,6268,6282,6268,6278,98,6241.28,6223.31,6215.09,6221.93,44.43,73.47,6268,6216,6282,2024-08-29 18:50:00+05:30,CRUDEOILM_v2_v2,6284,2024-08-30 15:25:00+05:30
SELL,2024-08-30 22:45:00+05:30,6146,6146,6130,6130,81,6151.66,6173.49,6208.23,6236.37,25.08,31.67,6171,6139,6130,2024-08-30 22:45:00+05:30,CRUDEOILM_v2_v2,6164,2024-09-02 21:20:00+05:30
BUY,2024-09-03 12:15:00+05:30,6178,6179,6178,6179,6,6170.92,6166.08,6160.28,6161.09,21.41,61.79,6178,6150,6179,2024-09-03 12:15:00+05:30,CRUDEOILM_v2_v2,6160,2024-09-03 13:00:00+05:30
SELL,2024-09-03 14:45:00+05:30,6127,6127,6100,6100,139,6138.02,6150.18,6153.94,6157.64,29.85,31.8,6172,6110,6100,2024-09-03 14:45:00+05:30,CRUDEOILM_v2_v2,5965,2024-09-04 15:50:00+05:30
SELL,2024-09-04 17:55:00+05:30,5915,5915,5897,5900,90,5931.0,5918.79,5914.99,5947.14,27.0,37.61,5985,5913,5897,2024-09-04 17:55:00+05:30,CRUDEOILM_v2_v2,5885,2024-09-05 14:35:00+05:30
SELL,2024-09-05 21:35:00+05:30,5851,5853,5824,5825,258,5866.83,5870.27,5868.11,5874.28,25.95,30.38,5927,5841,5824,2024-09-05 21:35:00+05:30,CRUDEOILM_v2_v2,5840,2024-09-06 17:15:00+05:30
SELL,2024-09-06 20:10:00+05:30,5787,5800,5765,5769,351,5827.29,5833.39,5833.49,5839.11,23.85,22.3,5876,5777,5765,2024-09-06 20:10:00+05:30,CRUDEOILM_v2_v2,5751,2024-09-09 20:35:00+05:30
SELL,2024-09-10 11:35:00+05:30,5736,5736,5733,5733,40,5742.61,5745.16,5743.62,5748.89,25.31,31.43,5757,5734,5733,2024-09-10 11:35:00+05:30,CRUDEOILM_v2_v2,5750,2024-09-10 13:10:00+05:30
SELL,2024-09-10 14:15:00+05:30,5723,5725,5709,5715,102,5731.2,5735.21,5737.78,5744.03,27.7,35.38,5751,5717,5709,2024-09-10 14:15:00+05:30,CRUDEOILM_v2_v2,5729,2024-09-10 18:25:00+05:30
SELL,2024-09-10 19:30:00+05:30,5694,5699,5680,5683,338,5714.43,5713.21,5717.03,5726.91,27.37,36.85,5760,5688,5680,2024-09-10 19:30:00+05:30,CRUDEOILM_v2_v2,5632,2024-09-11 14:25:00+05:30
SELL,2024-09-11 19:40:00+05:30,5603,5603,5580,5581,140,5618.77,5629.88,5627.55,5633.86,27.09,30.86,5656,5585,5580,2024-09-11 19:40:00+05:30,CRUDEOILM_v2_v2,5636,2024-09-11 21:05:00+05:30
BUY,2024-09-11 22:35:00+05:30,5674,5688,5674,5681,138,5648.57,5630.95,5625.67,5629.76,23.5,69.22,5679,5563,5688,2024-09-11 22:35:00+05:30,CRUDEOILM_v2_v2,5689,2024-09-12 19:20:00+05:30
BUY,2024-09-12 20:35:00+05:30,5779,5792,5772,5784,333,5739.53,5729.07,5718.53,5698.54,24.06,71.51,5781,5688,5792,2024-09-12 20:35:00+05:30,CRUDEOILM_v2_v2,5782,2024-09-13 20:55:00+05:30
SELL,2024-09-13 22:50:00+05:30,5744,5744,5732,5734,119,5763.17,5785.92,5795.61,5787.09,51.08,27.42,5802,5740,5732,2024-09-13 22:50:00+05:30,CRUDEOILM_v2_v2,5769,2024-09-16 12:35:00+05:30
SELL,2024-09-16 14:50:00+05:30,5774,5774,5755,5755,120,5775.34,5768.38,5768.19,5770.71,28.91,38.66,5796,5760,5755,2024-09-16 14:50:00+05:30,CRUDEOILM_v2_v2,5770,2024-09-16 16:55:00+05:30
BUY,2024-09-16 18:35:00+05:30,5818,5827,5812,5826,260,5784.3,5773.46,5769.78,5770.14,21.51,77.3,5823,5757,5827,2024-09-16 18:35:00+05:30,CRUDEOILM_v2_v2,5809,2024-09-17 13:25:00+05:30
BUY,2024-09-17 16:35:00+05:30,5822,5827,5819,5825,82,5809.36,5816.42,5820.63,5813.97,24.74,60.77,5823,5779,5827,2024-09-17 16:35:00+05:30,CRUDEOILM_v2_v2,5804,2024-09-17 18:10:00+05:30
BUY,2024-09-17 19:45:00+05:30,5870,5887,5869,5882,621,5852.39,5837.21,5830.59,5821.43,26.17,69.95,5877,5800,5887,2024-09-17 19:45:00+05:30,CRUDEOILM_v2_v2,5849,2024-09-18 10:25:00+05:30
SELL,2024-09-18 14:10:00+05:30,5823,5824,5815,5815,150,5837.92,5848.67,5855.11,5849.96,33.07,30.31,5859,5821,5815,2024-09-18 14:10:00+05:30,CRUDEOILM_v2_v2,5843,2024-09-18 17:20:00+05:30
BUY,2024-09-18 20:00:00+05:30,5845,5885,5845,5881,713,5856.07,5844.66,5841.47,5841.31,20.72,62.96,5879,5827,5885,2024-09-18 20:00:00+05:30,CRUDEOILM_v2_v2,5837,2024-09-18 21:05:00+05:30
BUY,2024-09-19 09:25:00+05:30,5871,5876,5871,5876,58,5855.34,5850.22,5847.28,5845.03,21.65,66.72,5875,5828,5876,2024-09-19 09:25:00+05:30,CRUDEOILM_v2_v2,5934,2024-09-20 13:05:00+05:30
BUY,2024-09-20 14:25:00+05:30,5957,5965,5955,5963,174,5945.69,5948.34,5948.21,5935.95,21.77,63.73,5962,5928,5965,2024-09-20 14:25:00+05:30,CRUDEOILM_v2_v2,5926,2024-09-20 15:30:00+05:30
BUY,2024-09-23 09:00:00+05:30,5989,5998,5987,5997,214,5971.63,5960.29,5953.1,5945.51,20.73,71.3,5982,5952,5998,2024-09-23 09:00:00+05:30,CRUDEOILM_v2_v2,5961,2024-09-23 12:35:00+05:30
SELL,2024-09-23 21:15:00+05:30,5902,5904,5882,5890,1195,5947.34,5963.28,5967.5,5965.19,37.51,19.14,6019,5900,5882,2024-09-23 21:15:00+05:30,CRUDEOILM_v2_v2,5952,2024-09-24 09:00:00+05:30
BUY,2024-09-24 12:20:00+05:30,5975,5985,5975,5982,152,5972.5,5959.5,5953.25,5953.46,36.97,63.96,5981,5963,5985,2024-09-24 12:20:00+05:30,CRUDEOILM_v2_v2,5994,2024-09-24 20:00:00+05:30
